Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
SNAP,Fuerte Compra,5,812,590.013504,528.2126024,,739.51908729,440.50792071,51.69561059,30.60316952,89.89698469
RCL,Vender,5331,1328.92,1382.6795,1407.1074,1357.58170045,1561.68550953,1203.67349047,-33.82667775,-21.04848484,46.49613555
ALPEK/A,Fuerte Compra,5820400,16.59,15.7815,16.12559992,15.30444997,16.57927873,14.98372127,0.05194584,-0.04692587,60.58750433
DKNG,Fuerte Venta,6930,902.92999,1114.188001,979.6492014,,1433.00622338,795.36977862,-37.9451216,3.38545747,38.32146095
CHDRAUI/B,Fuerte Compra,1076854,27.51,24.74400025,25.18319996,25.95999996,26.82466688,22.66333362,0.47321764,0.12658945,75.11832342
NCLH/N,Comprar,7343,371.63,368.9174995,363.7559994,468.45599965,399.44845249,338.38654651,-1.24438653,-0.13423689,53.19722118
JKS/N,Fuerte Compra,819,1499.99,1114.447,700.0895996,454.64639905,1898.058953,330.835047,272.98309316,243.60346537,70.31089078
XOM,Fuerte Venta,14,727.98999,735.3555025,808.8348024,986.4731015,783.59862948,687.11237552,-24.99609671,-28.81493409,41.37604766
VITRO/A,Fuerte Compra,1030,24.32,23.80750005,23.33479998,27.27984993,24.65856697,22.95643313,0.10160692,0.12192023,59.67725896
FIBRAMQ/12,Fuerte Compra,2269405,28.040001,27.13349985,25.94239998,24.11335,28.41267585,25.85432385,0.56831994,0.58055181,65.75785749
ICH/B,Fuerte Compra,1327,84.599998,77.71800045,79.22600026,85.28389984,83.74867074,71.68733016,1.12323605,0.12449049,69.90373847
HERDEZ,Fuerte Compra,272593,40.669998,40.06700015,39.32,35.19414989,41.5064872,38.6275131,0.3540477,0.46519134,56.96370187
